date,orders__subtotal,orders__shipping,orders__taxes,orders__total,orders__discount_code,orders__discount_amount,orders__lineitem_quantity,orders__lineitem_price,orders__lineitem_compare_at_price,orders__lineitem_requires_shipping,orders__lineitem_taxable,orders__billing_company,orders__billing_city,orders__shipping_company,orders__refunded_amount,orders__outstanding_balance,orders__id,orders__source,orders__lineitem_discount,orders__tax_1_value,orders__tax_2_value,orders__tax_3_value,orders__tax_4_value,orders__tax_5_value,orders__row_count,adspend_day__amount_spent_usd,adspend_day__unnamed_6,adspend_day__row_count,sales_day__orders,sales_day__gross_sales,sales_day__discounts,sales_day__returns,sales_day__net_sales,sales_day__shipping_charges,sales_day__duties,sales_day__additional_fees,sales_day__taxes,sales_day__total_sales,sales_day__orders_previous_period,sales_day__gross_sales_previous_period,sales_day__discounts_previous_period,sales_day__returns_previous_period,sales_day__net_sales_previous_period,sales_day__shipping_charges_previous_period,sales_day__duties_previous_period,sales_day__additional_fees_previous_period,sales_day__taxes_previous_period,sales_day__total_sales_previous_period,sales_day__row_count,views_day__primary,views_day__row_count,engagement_day__post_id,engagement_day__account_id,engagement_day__duration_sec,engagement_day__views,engagement_day__reach,engagement_day__likes,engagement_day__shares,engagement_day__follows,engagement_day__comments,engagement_day__saves,engagement_day__unnamed_19,engagement_day__row_count
2025-07-16,4311.91,119.47999999999999,13.77,4445.16,0.0,182.0,47.0,4097.91,4220.11,47.0,0.0,0.0,0.0,0.0,0.0,68.02000000000001,303627722959418.0,7781698.0,0.0,6.12,3.4000000000000004,4.25,0.0,0.0,47.0,513.47,0.0,1.0,47.0,4425.91,-182.0,0.0,4243.91,119.48,0.0,0.0,13.77,4377.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,128319.0,1.0,1.0780958680724742e+17,1.0704883669264162e+17,69.0,377584.0,185494.0,4267.0,439.0,561.0,154.0,240.0,0.0,6.0
2025-07-17,4484.93,163.35,12.24,4660.52,0.0,206.56,49.0,4294.14,4428.37,49.0,0.0,0.0,0.0,0.0,216.2,130.41,316623650302982.0,11672547.0,0.0,9.52,2.72,0.0,0.0,0.0,49.0,555.84,0.0,1.0,49.0,4554.14,-199.63,0.0,4354.51,163.35,0.0,0.0,12.24,4530.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,144685.0,1.0,1.26101870525283e+17,1.2489030947474854e+17,90.0,44023.0,26244.0,992.0,44.0,73.0,53.0,87.0,0.0,7.0
2025-07-18,6781.03,171.94,46.66,6999.63,0.0,439.88,77.0,6644.91,6597.73,77.0,0.0,0.0,0.0,0.0,256.5,456.73,497695849858350.0,15563396.0,0.0,17.07,14.09,10.610000000000001,4.33,0.56,77.0,740.74,0.0,1.0,80.0,7176.91,-842.28,-111.6,6223.03,171.94,0.0,0.0,36.33,6431.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,162081.0,1.0,5.466297055378157e+16,5.352441834632081e+16,56.0,349620.0,178574.0,4782.0,364.0,396.0,366.0,502.0,0.0,3.0
2025-07-19,6551.6,243.71,24.939999999999998,6820.25,0.0,380.51,67.0,6079.25,6057.47,67.0,0.0,0.0,0.0,0.0,122.4,364.8,433170662112306.0,11672547.0,0.0,12.31,3.1,8.879999999999999,0.65,0.0,67.0,699.14,0.0,1.0,68.0,6672.11,-485.31,0.0,6186.8,243.71,0.0,0.0,24.94,6455.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,140841.0,1.0,3.619846946720389e+16,3.568294556421387e+16,56.0,28257.0,14496.0,655.0,11.0,23.0,27.0,49.0,0.0,2.0
2025-07-20,7053.58,287.40999999999997,22.91,7363.9,0.0,384.54,77.0,6930.12,6665.73,77.0,0.0,0.0,0.0,0.0,0.0,235.59,497943567353134.0,7781698.0,0.0,14.88,2.17,2.14,3.41,0.31,77.0,839.13,0.0,1.0,77.0,7258.12,-378.94,-61.2,6817.98,287.41,0.0,0.0,22.91,7128.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,155505.0,1.0,5.443675611980878e+16,5.352441834632081e+16,50.0,27357.0,15062.0,637.0,33.0,31.0,49.0,56.0,0.0,3.0
2025-07-21,6749.03,196.69,7.82,6953.54,0.0,405.27,70.0,6170.3,6330.74,70.0,0.0,0.0,0.0,0.0,0.0,488.78,452774781140708.0,3890849.0,0.0,0.0,6.98,0.0,0.84,0.0,70.0,893.81,0.0,1.0,70.0,6907.65,-405.4,-241.84,6260.41,196.69,0.0,0.0,7.82,6464.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,164539.0,1.0,3.5769439296522296e+16,3.568294556421387e+16,22.0,22391.0,13079.0,520.0,20.0,48.0,51.0,56.0,0.0,2.0
2025-07-22,5103.55,98.85,22.799999999999997,5225.2,0.0,300.0,57.0,5335.55,5440.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,368766285787958.0,11672547.0,0.0,9.38,5.16,4.85,3.1,0.31,57.0,787.53,0.0,1.0,57.0,5403.55,-300.0,0.0,5103.55,98.85,0.0,0.0,22.8,5225.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,189075.0,1.0,9.063563179231776e+16,8.920736391053469e+16,58.0,958434.0,548715.0,43697.0,3391.0,1324.0,392.0,3060.0,0.0,5.0
2025-07-23,5727.2,380.74,13.68,6121.62,0.0,281.16,59.0,5373.61,5179.4,59.0,0.0,0.0,0.0,0.0,0.0,126.76,381784347555074.0,7781698.0,0.0,5.14,8.54,0.0,0.0,0.0,59.0,745.87,0.0,1.0,60.0,6005.61,-405.16,-104.0,5496.45,380.74,0.0,0.0,13.68,5890.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,338080.0,1.0,3.6148582896872456e+16,3.568294556421387e+16,30.0,26121.0,15712.0,662.0,22.0,34.0,23.0,52.0,0.0,2.0
2025-07-24,6841.6900000000005,247.67000000000002,18.54,7107.9,0.0,390.08,79.0,6723.77,6667.46,79.0,0.0,0.0,0.0,0.0,0.0,124.01,511321737774842.0,19454245.0,0.0,3.4,7.57,3.32,4.25,0.0,79.0,829.18,0.0,1.0,80.0,7355.77,-526.48,-111.6,6717.69,247.67,0.0,0.0,18.54,6983.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,269450.0,1.0,7.23881370705448e+16,7.136589112842774e+16,99.0,43712.0,22898.0,930.0,27.0,40.0,34.0,77.0,0.0,4.0
2025-07-25,9605.57,203.9,16.11,9825.58,0.0,643.99,96.0,8861.56,9113.28,94.0,0.0,0.0,0.0,0.0,223.2,663.2,608556028384372.0,11672547.0,0.0,11.96,4.1499999999999995,0.0,0.0,0.0,94.0,915.62,0.0,1.0,95.0,9617.56,-675.19,0.0,8942.37,203.9,0.0,0.0,16.11,9162.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,224133.0,1.0,3.597722946218373e+16,3.568294556421387e+16,58.0,95077.0,53502.0,1932.0,106.0,229.0,44.0,121.0,0.0,2.0
2025-07-26,6328.61,225.51999999999998,13.01,6567.14,0.0,388.29,65.0,5822.41,5996.54,64.0,0.0,0.0,0.0,0.0,133.9,236.54000000000002,414429701093760.0,7781698.0,0.0,3.25,5.17,0.17,4.08,0.34,64.0,891.2,0.0,1.0,64.0,6466.41,-374.34,0.0,6092.07,225.52,0.0,0.0,13.01,6330.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,176871.0,1.0,1.817747725033028e+16,1.7841472782106936e+16,8.0,10016.0,5218.0,126.0,6.0,3.0,15.0,15.0,0.0,1.0
2025-07-27,5511.3,207.71,42.04,5761.05,0.0,325.73,64.0,5699.82,5849.21,64.0,0.0,0.0,0.0,0.0,0.0,0.01,414523688827264.0,23345094.0,0.0,24.270000000000003,7.92,9.85,0.0,0.0,64.0,984.58,0.0,1.0,64.0,5837.03,-325.73,0.0,5511.3,207.71,0.0,0.0,42.04,5761.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,184464.0,1.0,3.5921213607036692e+16,3.568294556421387e+16,25.0,153951.0,94693.0,6140.0,429.0,533.0,92.0,686.0,0.0,2.0
2025-07-28,5627.98,397.38,0.0,6025.36,0.0,251.19,62.0,5471.17,4834.32,62.0,0.0,0.0,0.0,0.0,57.8,111.58,401657918306228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,976.32,0.0,1.0,62.0,5869.24,-226.79,-184.2,5458.25,397.38,0.0,0.0,0.0,5855.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,175187.0,1.0,1.8048936110241104e+16,1.7841472782106936e+16,9.0,37668.0,16031.0,396.0,43.0,21.0,29.0,46.0,0.0,1.0
2025-07-29,4784.89,300.39,13.64,5098.92,0.0,252.56,57.0,4901.45,4494.01,57.0,0.0,0.0,0.0,0.0,0.0,67.99,369343581795126.0,11672547.0,0.0,7.21,3.13,3.3,0.0,0.0,57.0,915.16,0.0,1.0,57.0,4969.45,-252.56,0.0,4716.89,300.39,0.0,0.0,13.64,5030.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,165940.0,1.0,1.807355242096513e+16,1.7841472782106936e+16,14.0,70538.0,37277.0,1514.0,59.0,57.0,66.0,153.0,0.0,1.0
2025-07-30,5706.39,197.68,31.54,5935.61,0.0,390.32,65.0,5438.54,5446.52,65.0,0.0,0.0,0.0,0.0,2.25,174.75,421309954013798.0,23345094.0,0.0,14.120000000000001,9.76,7.66,0.0,0.0,65.0,966.41,0.0,1.0,66.0,6026.54,-494.91,0.0,5531.63,197.68,0.0,0.0,31.54,5760.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,173761.0,1.0,3.639478936632322e+16,3.568294556421387e+16,20.0,55651.0,32379.0,785.0,63.0,45.0,47.0,70.0,0.0,2.0
2025-07-31,4474.57,159.98000000000002,7.31,4641.86,0.0,200.41,50.0,4302.98,4357.36,50.0,0.0,0.0,0.0,0.0,0.0,0.0,324158254886124.0,7781698.0,0.0,0.68,2.04,0.17,4.08,0.34,50.0,894.95,0.0,1.0,50.0,4674.98,-200.41,0.0,4474.57,159.98,0.0,0.0,7.31,4641.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134297.0,1.0,1.7886663126201768e+16,1.7841472782106936e+16,16.0,16978.0,8699.0,364.0,8.0,19.0,33.0,20.0,0.0,1.0
2025-08-01,6684.73,207.01,11.48,6903.22,0.0,344.2,71.0,6236.93,6398.63,71.0,0.0,0.0,0.0,0.0,0.0,240.8,460431208005578.0,19454245.0,0.0,6.800000000000001,2.38,0.68,1.45,0.17,71.0,1000.77,0.0,1.0,72.0,6892.93,-449.0,0.0,6443.93,207.01,0.0,0.0,11.48,6662.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,182750.0,1.0,,,,,,,,,,,,
2025-08-02,5635.37,178.12,10.54,5824.03,0.0,263.2,63.0,5242.57,5170.12,63.0,0.0,0.0,0.0,0.0,0.0,248.01,408643480402074.0,11672547.0,0.0,1.24,8.06,1.24,0.0,0.0,63.0,1029.93,0.0,1.0,63.0,5650.57,-263.2,0.0,5387.37,178.12,0.0,0.0,10.54,5576.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,155038.0,1.0,,,,,,,,,,,,
2025-08-03,5140.39,116.18,13.41,5269.98,0.0,334.36,59.0,5022.75,5102.75,59.0,0.0,0.0,0.0,0.0,0.0,248.0,382783489553666.0,11672547.0,0.0,4.69,2.52,1.8499999999999999,3.84,0.51,59.0,1047.34,1455.94,1.0,60.0,5362.75,-470.36,0.0,4892.39,116.18,0.0,0.0,13.41,5021.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,178167.0,1.0,1.8301638790223064e+16,1.7841472782106936e+16,11.0,19189.0,9798.0,382.0,63.0,13.0,21.0,33.0,0.0,1.0
2025-08-04,5280.47,144.51,18.02,5443.0,0.0,300.8,66.0,5389.27,5512.3,66.0,0.0,0.0,0.0,0.0,0.0,0.0,428288441006924.0,11672547.0,0.0,2.04,5.78,5.27,4.93,0.0,66.0,969.74,0.0,1.0,67.0,5717.27,-436.8,0.0,5280.47,144.51,0.0,0.0,18.02,5443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,151959.0,1.0,,,,,,,,,,,,
