post_id,account_id,account_username,account_name,description,duration_sec,publish_time,permalink,post_type,data_comment,date,views,reach,likes,shares,follows,comments,saves,unnamed_18,unnamed_19,unnamed_20
17918243706174082,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",14,09/15/2025 19:23,https://www.instagram.com/reel/DOpW3akDG3g/,IG reel,,Lifetime,12112,7111,262,4,10,44,20,,,
18072359513515193,17841472782106936,v2byvelare,,"new pieces once everything ships

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",15,09/15/2025 19:18,https://www.instagram.com/reel/DOpWSXEjEEm/,IG reel,,Lifetime,18791,10472,414,5,9,15,25,,,
18363352207155391,17841472782106936,v2byvelare,,"shipping almost ready ;)

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",21,09/15/2025 14:15,https://www.instagram.com/reel/DOon_V6Ethi/,IG reel,,Lifetime,31875,21424,796,89,50,27,51,,,
17908154367229271,17841472782106936,v2byvelare,,"shipping almost ready 💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",27,09/14/2025 16:44,https://www.instagram.com/reel/DOmfrnCjE1D/,IG reel,,Lifetime,14899,8016,340,11,13,8,16,,,
17941477044062027,17841472782106936,v2byvelare,,"find me in NYC :)

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie ##newyork #nyfw #nyfw2025",17,09/14/2025 9:04,https://www.instagram.com/reel/DOlrNGyDViK/,IG reel,,Lifetime,41842,26491,870,94,42,23,59,,,
18056870651614505,17841472782106936,v2byvelare,,"zip up coming soon

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",8,09/12/2025 12:33,https://www.instagram.com/reel/DOg5g-9Ekfl/,IG reel,,Lifetime,27947,14893,383,23,21,34,27,,,
18341895871165434,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",9,09/12/2025 11:43,https://www.instagram.com/reel/DOgzz7MEtGB/,IG reel,,Lifetime,9987,5673,201,11,4,10,16,,,
18043030394349312,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",10,09/12/2025 4:39,https://www.instagram.com/reel/DOgDXzIjVjU/,IG reel,,Lifetime,9427,5544,171,16,7,15,24,,,
18338271583161320,17841472782106936,v2byvelare,,"v2 documentary ahh

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",29,09/11/2025 17:40,https://www.instagram.com/reel/DOe3zrHDFQU/,IG reel,,Lifetime,30988,20613,776,40,70,35,39,,,
17940369107934575,17841472782106936,v2byvelare,,"u can buy it tho <3

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",9,09/11/2025 16:19,https://www.instagram.com/reel/DOeulZTDJJD/,IG reel,,Lifetime,39125,20178,999,18,33,209,41,,,
18526202650041711,17841472782106936,v2byvelare,,"sagging final boss

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",12,09/11/2025 14:42,https://www.instagram.com/reel/DOeihjykn0E/,IG reel,,Lifetime,16377,9166,238,13,7,19,19,,,
18089347303768428,17841472782106936,v2byvelare,,"i love buzzwords

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",19,09/11/2025 11:45,https://www.instagram.com/reel/DOeOZ77kpkG/,IG reel,,Lifetime,12968,6966,196,7,2,6,11,,,
18074856071013921,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates #microtrend",9,09/11/2025 4:04,https://www.instagram.com/reel/DOdagpRDdtc/,IG reel,,Lifetime,10293,5505,151,7,2,6,13,,,
18371105695145067,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",9,09/10/2025 22:23,https://www.instagram.com/reel/DOczkifDZfR/,IG reel,,Lifetime,13942,7356,212,11,8,9,13,,,
18050115416285646,17841472782106936,v2byvelare,,"pieces with meaning?

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",15,09/10/2025 22:01,https://www.instagram.com/reel/DOcxA4UDfT9/,IG reel,,Lifetime,20131,12217,570,10,28,12,28,,,
18055047557563268,17841472782106936,v2byvelare,,"hoodie by me :)

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",15,09/10/2025 21:47,https://www.instagram.com/reel/DOcvcRnDEUG/,IG reel,,Lifetime,974,838,21,1,1,2,0,,,
18097100983570144,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",8,09/10/2025 21:31,https://www.instagram.com/reel/DOctjdgjAh5/,IG reel,,Lifetime,8636,4795,136,2,5,3,14,,,
17990943614836523,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",10,09/10/2025 19:34,https://www.instagram.com/reel/DOcgJaFjItY/,IG reel,,Lifetime,16673,8234,294,9,1,7,15,,,
18524899039059252,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",12,09/10/2025 18:37,https://www.instagram.com/reel/DOcZtthjCg3/,IG reel,,Lifetime,11267,6001,247,1,2,9,7,,,
